0,0: 	 D0: 	 1 				D1: 	 65 
0,21: 	 D0: 	 134 				D1: 	 198 
1,21: 	 D0: 	 150 				D1: 	 214 
2,21: 	 D0: 	 166 				D1: 	 230 
3,21: 	 D0: 	 182 				D1: 	 246 
0,22: 	 D0: 	 135 				D1: 	 199 
1,22: 	 D0: 	 151 				D1: 	 215 
2,22: 	 D0: 	 167 				D1: 	 231 
3,22: 	 D0: 	 183 				D1: 	 247 
0,23: 	 D0: 	 136 				D1: 	 200 
1,23: 	 D0: 	 152 				D1: 	 216 
2,23: 	 D0: 	 168 				D1: 	 232 
3,23: 	 D0: 	 184 				D1: 	 248 
0,24: 	 D0: 	 137 				D1: 	 201 
1,24: 	 D0: 	 153 				D1: 	 217 
2,24: 	 D0: 	 169 				D1: 	 233 
3,24: 	 D0: 	 185 				D1: 	 249 
0,25: 	 D0: 	 138 				D1: 	 202 
1,25: 	 D0: 	 154 				D1: 	 218 
2,25: 	 D0: 	 170 				D1: 	 234 
3,25: 	 D0: 	 186 				D1: 	 250 
0,26: 	 D0: 	 139 				D1: 	 203 
1,26: 	 D0: 	 155 				D1: 	 219 
2,26: 	 D0: 	 171 				D1: 	 235 
3,26: 	 D0: 	 187 				D1: 	 251 
0,27: 	 D0: 	 140 				D1: 	 204 
1,27: 	 D0: 	 156 				D1: 	 220 
2,27: 	 D0: 	 172 				D1: 	 236 
3,27: 	 D0: 	 188 				D1: 	 252 
0,28: 	 D0: 	 141 				D1: 	 205 
1,28: 	 D0: 	 157 				D1: 	 221 
2,28: 	 D0: 	 173 				D1: 	 237 
3,28: 	 D0: 	 189 				D1: 	 253 
0,29: 	 D0: 	 142 				D1: 	 206 
1,29: 	 D0: 	 158 				D1: 	 222 
2,29: 	 D0: 	 174 				D1: 	 238 
3,29: 	 D0: 	 190 				D1: 	 254 
0,30: 	 D0: 	 143 				D1: 	 207 
1,30: 	 D0: 	 159 				D1: 	 223 
2,30: 	 D0: 	 175 				D1: 	 239 
3,30: 	 D0: 	 191 				D1: 	 255 
0,31: 	 D0: 	 144 				D1: 	 208 
1,31: 	 D0: 	 160 				D1: 	 224 
2,31: 	 D0: 	 176 				D1: 	 240 
3,31: 	 D0: 	 192 				D1: 	 256 
0,32: 	 D0: 	 257 				D1: 	 321 
1,32: 	 D0: 	 273 				D1: 	 337 
2,32: 	 D0: 	 289 				D1: 	 353 
3,32: 	 D0: 	 305 				D1: 	 369 
0,33: 	 D0: 	 258 				D1: 	 322 
1,33: 	 D0: 	 274 				D1: 	 338 
2,33: 	 D0: 	 290 				D1: 	 354 
3,33: 	 D0: 	 306 				D1: 	 370 
0,34: 	 D0: 	 259 				D1: 	 323 
1,34: 	 D0: 	 275 				D1: 	 339 
2,34: 	 D0: 	 291 				D1: 	 355 
3,34: 	 D0: 	 307 				D1: 	 371 
0,35: 	 D0: 	 260 				D1: 	 324 
1,35: 	 D0: 	 276 				D1: 	 340 
2,35: 	 D0: 	 292 				D1: 	 356 
3,35: 	 D0: 	 308 				D1: 	 372 
0,36: 	 D0: 	 261 				D1: 	 325 
1,36: 	 D0: 	 277 				D1: 	 341 
2,36: 	 D0: 	 293 				D1: 	 357 
3,36: 	 D0: 	 309 				D1: 	 373 
0,37: 	 D0: 	 262 				D1: 	 326 
1,37: 	 D0: 	 278 				D1: 	 342 
2,37: 	 D0: 	 294 				D1: 	 358 
3,37: 	 D0: 	 310 				D1: 	 374 
0,38: 	 D0: 	 263 				D1: 	 327 
1,38: 	 D0: 	 279 				D1: 	 343 
2,38: 	 D0: 	 295 				D1: 	 359 
3,38: 	 D0: 	 311 				D1: 	 375 
0,39: 	 D0: 	 264 				D1: 	 328 
1,39: 	 D0: 	 280 				D1: 	 344 
2,39: 	 D0: 	 296 				D1: 	 360 
3,39: 	 D0: 	 312 				D1: 	 376 
0,40: 	 D0: 	 265 				D1: 	 329 
1,40: 	 D0: 	 281 				D1: 	 345 
2,40: 	 D0: 	 297 				D1: 	 361 
3,40: 	 D0: 	 313 				D1: 	 377 
0,41: 	 D0: 	 266 				D1: 	 330 
1,41: 	 D0: 	 282 				D1: 	 346 
2,41: 	 D0: 	 298 				D1: 	 362 
3,41: 	 D0: 	 314 				D1: 	 378 
0,42: 	 D0: 	 267 				D1: 	 331 
1,42: 	 D0: 	 283 				D1: 	 347 
2,42: 	 D0: 	 299 				D1: 	 363 
3,42: 	 D0: 	 315 				D1: 	 379 
0,43: 	 D0: 	 268 				D1: 	 332 
1,43: 	 D0: 	 284 				D1: 	 348 
2,43: 	 D0: 	 300 				D1: 	 364 
3,43: 	 D0: 	 316 				D1: 	 380 
0,44: 	 D0: 	 269 				D1: 	 333 
1,44: 	 D0: 	 285 				D1: 	 349 
2,44: 	 D0: 	 301 				D1: 	 365 
3,44: 	 D0: 	 317 				D1: 	 381 
0,45: 	 D0: 	 270 				D1: 	 334 
1,45: 	 D0: 	 286 				D1: 	 350 
2,45: 	 D0: 	 302 				D1: 	 366 
3,45: 	 D0: 	 318 				D1: 	 382 
0,46: 	 D0: 	 271 				D1: 	 335 
1,46: 	 D0: 	 287 				D1: 	 351 
2,46: 	 D0: 	 303 				D1: 	 367 
3,46: 	 D0: 	 319 				D1: 	 383 
0,47: 	 D0: 	 272 				D1: 	 336 
1,47: 	 D0: 	 288 				D1: 	 352 
2,47: 	 D0: 	 304 				D1: 	 368 
3,47: 	 D0: 	 320 				D1: 	 384 
0,48: 	 D0: 	 385 				D1: 	 449 
1,48: 	 D0: 	 401 				D1: 	 465 
2,48: 	 D0: 	 417 				D1: 	 481 
3,48: 	 D0: 	 433 				D1: 	 497 
0,49: 	 D0: 	 386 				D1: 	 450 
1,49: 	 D0: 	 402 				D1: 	 466 
2,49: 	 D0: 	 418 				D1: 	 482 
3,49: 	 D0: 	 434 				D1: 	 498 
0,50: 	 D0: 	 387 				D1: 	 451 
1,50: 	 D0: 	 403 				D1: 	 467 
2,50: 	 D0: 	 419 				D1: 	 483 
3,50: 	 D0: 	 435 				D1: 	 499 
0,51: 	 D0: 	 388 				D1: 	 452 
1,51: 	 D0: 	 404 				D1: 	 468 
2,51: 	 D0: 	 420 				D1: 	 484 
3,51: 	 D0: 	 436 				D1: 	 500 
0,52: 	 D0: 	 389 				D1: 	 453 
1,52: 	 D0: 	 405 				D1: 	 469 
2,52: 	 D0: 	 421 				D1: 	 485 
3,52: 	 D0: 	 437 				D1: 	 501 
0,53: 	 D0: 	 390 				D1: 	 454 
1,53: 	 D0: 	 406 				D1: 	 470 
2,53: 	 D0: 	 422 				D1: 	 486 
3,53: 	 D0: 	 438 				D1: 	 502 
0,54: 	 D0: 	 391 				D1: 	 455 
1,54: 	 D0: 	 407 				D1: 	 471 
2,54: 	 D0: 	 423 				D1: 	 487 
3,54: 	 D0: 	 439 				D1: 	 503 
0,55: 	 D0: 	 392 				D1: 	 456 
1,55: 	 D0: 	 408 				D1: 	 472 
2,55: 	 D0: 	 424 				D1: 	 488 
3,55: 	 D0: 	 440 				D1: 	 504 
0,56: 	 D0: 	 393 				D1: 	 457 
1,56: 	 D0: 	 409 				D1: 	 473 
2,56: 	 D0: 	 425 				D1: 	 489 
3,56: 	 D0: 	 441 				D1: 	 505 
0,57: 	 D0: 	 394 				D1: 	 458 
1,57: 	 D0: 	 410 				D1: 	 474 
2,57: 	 D0: 	 426 				D1: 	 490 
3,57: 	 D0: 	 442 				D1: 	 506 
0,58: 	 D0: 	 395 				D1: 	 459 
1,58: 	 D0: 	 411 				D1: 	 475 
2,58: 	 D0: 	 427 				D1: 	 491 
3,58: 	 D0: 	 443 				D1: 	 507 
0,59: 	 D0: 	 396 				D1: 	 460 
1,59: 	 D0: 	 412 				D1: 	 476 
2,59: 	 D0: 	 428 				D1: 	 492 
3,59: 	 D0: 	 444 				D1: 	 508 
0,60: 	 D0: 	 397 				D1: 	 461 
1,60: 	 D0: 	 413 				D1: 	 477 
2,60: 	 D0: 	 429 				D1: 	 493 
3,60: 	 D0: 	 445 				D1: 	 509 
0,61: 	 D0: 	 398 				D1: 	 462 
1,61: 	 D0: 	 414 				D1: 	 478 
2,61: 	 D0: 	 430 				D1: 	 494 
3,61: 	 D0: 	 446 				D1: 	 510 
0,62: 	 D0: 	 399 				D1: 	 463 
1,62: 	 D0: 	 415 				D1: 	 479 
2,62: 	 D0: 	 431 				D1: 	 495 
3,62: 	 D0: 	 447 				D1: 	 511 
0,63: 	 D0: 	 400 				D1: 	 464 
1,63: 	 D0: 	 416 				D1: 	 480 
2,63: 	 D0: 	 432 				D1: 	 496 
3,63: 	 D0: 	 448 				D1: 	 512 
0,64: 	 D0: 	 513 				D1: 	 577 
1,64: 	 D0: 	 529 				D1: 	 593 
2,64: 	 D0: 	 545 				D1: 	 609 
3,64: 	 D0: 	 561 				D1: 	 625 
0,65: 	 D0: 	 514 				D1: 	 578 
1,65: 	 D0: 	 530 				D1: 	 594 
2,65: 	 D0: 	 546 				D1: 	 610 
3,65: 	 D0: 	 562 				D1: 	 626 
0,66: 	 D0: 	 515 				D1: 	 579 
1,66: 	 D0: 	 531 				D1: 	 595 
2,66: 	 D0: 	 547 				D1: 	 611 
3,66: 	 D0: 	 563 				D1: 	 627 
0,67: 	 D0: 	 516 				D1: 	 580 
1,67: 	 D0: 	 532 				D1: 	 596 
2,67: 	 D0: 	 548 				D1: 	 612 
3,67: 	 D0: 	 564 				D1: 	 628 
0,68: 	 D0: 	 517 				D1: 	 581 
1,68: 	 D0: 	 533 				D1: 	 597 
2,68: 	 D0: 	 549 				D1: 	 613 
3,68: 	 D0: 	 565 				D1: 	 629 
0,69: 	 D0: 	 518 				D1: 	 582 
1,69: 	 D0: 	 534 				D1: 	 598 
2,69: 	 D0: 	 550 				D1: 	 614 
3,69: 	 D0: 	 566 				D1: 	 630 
0,70: 	 D0: 	 519 				D1: 	 583 
1,70: 	 D0: 	 535 				D1: 	 599 
2,70: 	 D0: 	 551 				D1: 	 615 
3,70: 	 D0: 	 567 				D1: 	 631 
0,71: 	 D0: 	 520 				D1: 	 584 
1,71: 	 D0: 	 536 				D1: 	 600 
2,71: 	 D0: 	 552 				D1: 	 616 
3,71: 	 D0: 	 568 				D1: 	 632 
0,72: 	 D0: 	 521 				D1: 	 585 
1,72: 	 D0: 	 537 				D1: 	 601 
2,72: 	 D0: 	 553 				D1: 	 617 
3,72: 	 D0: 	 569 				D1: 	 633 
0,73: 	 D0: 	 522 				D1: 	 586 
1,73: 	 D0: 	 538 				D1: 	 602 
2,73: 	 D0: 	 554 				D1: 	 618 
3,73: 	 D0: 	 570 				D1: 	 634 
0,74: 	 D0: 	 523 				D1: 	 587 
1,74: 	 D0: 	 539 				D1: 	 603 
2,74: 	 D0: 	 555 				D1: 	 619 
3,74: 	 D0: 	 571 				D1: 	 635 
0,75: 	 D0: 	 524 				D1: 	 588 
1,75: 	 D0: 	 540 				D1: 	 604 
2,75: 	 D0: 	 556 				D1: 	 620 
3,75: 	 D0: 	 572 				D1: 	 636 
0,76: 	 D0: 	 525 				D1: 	 589 
1,76: 	 D0: 	 541 				D1: 	 605 
2,76: 	 D0: 	 557 				D1: 	 621 
3,76: 	 D0: 	 573 				D1: 	 637 
0,77: 	 D0: 	 526 				D1: 	 590 
1,77: 	 D0: 	 542 				D1: 	 606 
2,77: 	 D0: 	 558 				D1: 	 622 
3,77: 	 D0: 	 574 				D1: 	 638 
0,78: 	 D0: 	 527 				D1: 	 591 
1,78: 	 D0: 	 543 				D1: 	 607 
2,78: 	 D0: 	 559 				D1: 	 623 
3,78: 	 D0: 	 575 				D1: 	 639 
0,79: 	 D0: 	 528 				D1: 	 592 
1,79: 	 D0: 	 544 				D1: 	 608 
2,79: 	 D0: 	 560 				D1: 	 624 
3,79: 	 D0: 	 576 				D1: 	 640 
0,80: 	 D0: 	 641 				D1: 	 705 
1,80: 	 D0: 	 657 				D1: 	 721 
2,80: 	 D0: 	 673 				D1: 	 737 
3,80: 	 D0: 	 689 				D1: 	 753 
0,81: 	 D0: 	 642 				D1: 	 706 
1,81: 	 D0: 	 658 				D1: 	 722 
2,81: 	 D0: 	 674 				D1: 	 738 
3,81: 	 D0: 	 690 				D1: 	 754 
0,82: 	 D0: 	 643 				D1: 	 707 
1,82: 	 D0: 	 659 				D1: 	 723 
2,82: 	 D0: 	 675 				D1: 	 739 
3,82: 	 D0: 	 691 				D1: 	 755 
0,83: 	 D0: 	 644 				D1: 	 708 
1,83: 	 D0: 	 660 				D1: 	 724 
2,83: 	 D0: 	 676 				D1: 	 740 
3,83: 	 D0: 	 692 				D1: 	 756 
0,84: 	 D0: 	 645 				D1: 	 709 
1,84: 	 D0: 	 661 				D1: 	 725 
2,84: 	 D0: 	 677 				D1: 	 741 
3,84: 	 D0: 	 693 				D1: 	 757 
0,85: 	 D0: 	 646 				D1: 	 710 
1,85: 	 D0: 	 662 				D1: 	 726 
2,85: 	 D0: 	 678 				D1: 	 742 
3,85: 	 D0: 	 694 				D1: 	 758 
0,86: 	 D0: 	 647 				D1: 	 711 
1,86: 	 D0: 	 663 				D1: 	 727 
2,86: 	 D0: 	 679 				D1: 	 743 
3,86: 	 D0: 	 695 				D1: 	 759 
0,87: 	 D0: 	 648 				D1: 	 712 
1,87: 	 D0: 	 664 				D1: 	 728 
2,87: 	 D0: 	 680 				D1: 	 744 
3,87: 	 D0: 	 696 				D1: 	 760 
0,88: 	 D0: 	 649 				D1: 	 713 
1,88: 	 D0: 	 665 				D1: 	 729 
2,88: 	 D0: 	 681 				D1: 	 745 
3,88: 	 D0: 	 697 				D1: 	 761 
0,89: 	 D0: 	 650 				D1: 	 714 
1,89: 	 D0: 	 666 				D1: 	 730 
2,89: 	 D0: 	 682 				D1: 	 746 
3,89: 	 D0: 	 698 				D1: 	 762 
0,90: 	 D0: 	 651 				D1: 	 715 
1,90: 	 D0: 	 667 				D1: 	 731 
2,90: 	 D0: 	 683 				D1: 	 747 
3,90: 	 D0: 	 699 				D1: 	 763 
0,91: 	 D0: 	 652 				D1: 	 716 
1,91: 	 D0: 	 668 				D1: 	 732 
2,91: 	 D0: 	 684 				D1: 	 748 
3,91: 	 D0: 	 700 				D1: 	 764 
0,92: 	 D0: 	 653 				D1: 	 717 
1,92: 	 D0: 	 669 				D1: 	 733 
2,92: 	 D0: 	 685 				D1: 	 749 
3,92: 	 D0: 	 701 				D1: 	 765 
0,93: 	 D0: 	 654 				D1: 	 718 
1,93: 	 D0: 	 670 				D1: 	 734 
2,93: 	 D0: 	 686 				D1: 	 750 
3,93: 	 D0: 	 702 				D1: 	 766 
0,94: 	 D0: 	 655 				D1: 	 719 
1,94: 	 D0: 	 671 				D1: 	 735 
2,94: 	 D0: 	 687 				D1: 	 751 
3,94: 	 D0: 	 703 				D1: 	 767 
0,95: 	 D0: 	 656 				D1: 	 720 
1,95: 	 D0: 	 672 				D1: 	 736 
2,95: 	 D0: 	 688 				D1: 	 752 
3,95: 	 D0: 	 704 				D1: 	 768 
0,96: 	 D0: 	 769 				D1: 	 833 
1,96: 	 D0: 	 785 				D1: 	 849 
2,96: 	 D0: 	 801 				D1: 	 865 
3,96: 	 D0: 	 817 				D1: 	 881 
0,97: 	 D0: 	 770 				D1: 	 834 
1,97: 	 D0: 	 786 				D1: 	 850 
2,97: 	 D0: 	 802 				D1: 	 866 
3,97: 	 D0: 	 818 				D1: 	 882 
0,98: 	 D0: 	 771 				D1: 	 835 
1,98: 	 D0: 	 787 				D1: 	 851 
2,98: 	 D0: 	 803 				D1: 	 867 
3,98: 	 D0: 	 819 				D1: 	 883 
0,99: 	 D0: 	 772 				D1: 	 836 
1,99: 	 D0: 	 788 				D1: 	 852 
2,99: 	 D0: 	 804 				D1: 	 868 
3,99: 	 D0: 	 820 				D1: 	 884 
0,100: 	 D0: 	 773 				D1: 	 837 
1,100: 	 D0: 	 789 				D1: 	 853 
2,100: 	 D0: 	 805 				D1: 	 869 
3,100: 	 D0: 	 821 				D1: 	 885 
0,101: 	 D0: 	 774 				D1: 	 838 
1,101: 	 D0: 	 790 				D1: 	 854 
2,101: 	 D0: 	 806 				D1: 	 870 
3,101: 	 D0: 	 822 				D1: 	 886 
0,102: 	 D0: 	 775 				D1: 	 839 
1,102: 	 D0: 	 791 				D1: 	 855 
2,102: 	 D0: 	 807 				D1: 	 871 
3,102: 	 D0: 	 823 				D1: 	 887 
0,103: 	 D0: 	 776 				D1: 	 840 
1,103: 	 D0: 	 792 				D1: 	 856 
2,103: 	 D0: 	 808 				D1: 	 872 
3,103: 	 D0: 	 824 				D1: 	 888 
0,104: 	 D0: 	 777 				D1: 	 841 
1,104: 	 D0: 	 793 				D1: 	 857 
2,104: 	 D0: 	 809 				D1: 	 873 
3,104: 	 D0: 	 825 				D1: 	 889 
0,105: 	 D0: 	 778 				D1: 	 842 
1,105: 	 D0: 	 794 				D1: 	 858 
2,105: 	 D0: 	 810 				D1: 	 874 
3,105: 	 D0: 	 826 				D1: 	 890 
0,106: 	 D0: 	 779 				D1: 	 843 
1,106: 	 D0: 	 795 				D1: 	 859 
2,106: 	 D0: 	 811 				D1: 	 875 
3,106: 	 D0: 	 827 				D1: 	 891 
0,107: 	 D0: 	 780 				D1: 	 844 
1,107: 	 D0: 	 796 				D1: 	 860 
2,107: 	 D0: 	 812 				D1: 	 876 
3,107: 	 D0: 	 828 				D1: 	 892 
0,108: 	 D0: 	 781 				D1: 	 845 
1,108: 	 D0: 	 797 				D1: 	 861 
2,108: 	 D0: 	 813 				D1: 	 877 
3,108: 	 D0: 	 829 				D1: 	 893 
0,109: 	 D0: 	 782 				D1: 	 846 
1,109: 	 D0: 	 798 				D1: 	 862 
2,109: 	 D0: 	 814 				D1: 	 878 
3,109: 	 D0: 	 830 				D1: 	 894 
0,110: 	 D0: 	 783 				D1: 	 847 
1,110: 	 D0: 	 799 				D1: 	 863 
2,110: 	 D0: 	 815 				D1: 	 879 
3,110: 	 D0: 	 831 				D1: 	 895 
0,111: 	 D0: 	 784 				D1: 	 848 
1,111: 	 D0: 	 800 				D1: 	 864 
2,111: 	 D0: 	 816 				D1: 	 880 
3,111: 	 D0: 	 832 				D1: 	 896 
0,112: 	 D0: 	 897 				D1: 	 961 
1,112: 	 D0: 	 913 				D1: 	 977 
2,112: 	 D0: 	 929 				D1: 	 993 
3,112: 	 D0: 	 945 				D1: 	 1009 
0,113: 	 D0: 	 898 				D1: 	 962 
1,113: 	 D0: 	 914 				D1: 	 978 
2,113: 	 D0: 	 930 				D1: 	 994 
3,113: 	 D0: 	 946 				D1: 	 1010 
0,114: 	 D0: 	 899 				D1: 	 963 
1,114: 	 D0: 	 915 				D1: 	 979 
2,114: 	 D0: 	 931 				D1: 	 995 
3,114: 	 D0: 	 947 				D1: 	 1011 
0,115: 	 D0: 	 900 				D1: 	 964 
1,115: 	 D0: 	 916 				D1: 	 980 
2,115: 	 D0: 	 932 				D1: 	 996 
3,115: 	 D0: 	 948 				D1: 	 1012 
0,116: 	 D0: 	 901 				D1: 	 965 
1,116: 	 D0: 	 917 				D1: 	 981 
2,116: 	 D0: 	 933 				D1: 	 997 
3,116: 	 D0: 	 949 				D1: 	 1013 
0,117: 	 D0: 	 902 				D1: 	 966 
1,117: 	 D0: 	 918 				D1: 	 982 
2,117: 	 D0: 	 934 				D1: 	 998 
3,117: 	 D0: 	 950 				D1: 	 1014 
0,118: 	 D0: 	 903 				D1: 	 967 
1,118: 	 D0: 	 919 				D1: 	 983 
2,118: 	 D0: 	 935 				D1: 	 999 
3,118: 	 D0: 	 951 				D1: 	 1015 
0,119: 	 D0: 	 904 				D1: 	 968 
1,119: 	 D0: 	 920 				D1: 	 984 
2,119: 	 D0: 	 936 				D1: 	 1000 
3,119: 	 D0: 	 952 				D1: 	 1016 
0,120: 	 D0: 	 905 				D1: 	 969 
1,120: 	 D0: 	 921 				D1: 	 985 
2,120: 	 D0: 	 937 				D1: 	 1001 
3,120: 	 D0: 	 953 				D1: 	 1017 
0,121: 	 D0: 	 906 				D1: 	 970 
1,121: 	 D0: 	 922 				D1: 	 986 
2,121: 	 D0: 	 938 				D1: 	 1002 
3,121: 	 D0: 	 954 				D1: 	 1018 
0,122: 	 D0: 	 907 				D1: 	 971 
1,122: 	 D0: 	 923 				D1: 	 987 
2,122: 	 D0: 	 939 				D1: 	 1003 
3,122: 	 D0: 	 955 				D1: 	 1019 
0,123: 	 D0: 	 908 				D1: 	 972 
1,123: 	 D0: 	 924 				D1: 	 988 
2,123: 	 D0: 	 940 				D1: 	 1004 
3,123: 	 D0: 	 956 				D1: 	 1020 
0,124: 	 D0: 	 909 				D1: 	 973 
1,124: 	 D0: 	 925 				D1: 	 989 
2,124: 	 D0: 	 941 				D1: 	 1005 
3,124: 	 D0: 	 957 				D1: 	 1021 
0,125: 	 D0: 	 910 				D1: 	 974 
1,125: 	 D0: 	 926 				D1: 	 990 
2,125: 	 D0: 	 942 				D1: 	 1006 
3,125: 	 D0: 	 958 				D1: 	 1022 
0,126: 	 D0: 	 911 				D1: 	 975 
1,126: 	 D0: 	 927 				D1: 	 991 
2,126: 	 D0: 	 943 				D1: 	 1007 
3,126: 	 D0: 	 959 				D1: 	 1023 
0,127: 	 D0: 	 912 				D1: 	 976 
1,127: 	 D0: 	 928 				D1: 	 992 
2,127: 	 D0: 	 944 				D1: 	 1008 
3,127: 	 D0: 	 960 				D1: 	 1024 
0,128: 	 D0: 	 1025 				D1: 	 1089 
1,128: 	 D0: 	 1041 				D1: 	 1105 
2,128: 	 D0: 	 1057 				D1: 	 1121 
3,128: 	 D0: 	 1073 				D1: 	 1137 
0,129: 	 D0: 	 1026 				D1: 	 1090 
1,129: 	 D0: 	 1042 				D1: 	 1106 
2,129: 	 D0: 	 1058 				D1: 	 1122 
3,129: 	 D0: 	 1074 				D1: 	 1138 
0,130: 	 D0: 	 1027 				D1: 	 1091 
1,130: 	 D0: 	 1043 				D1: 	 1107 
2,130: 	 D0: 	 1059 				D1: 	 1123 
3,130: 	 D0: 	 1075 				D1: 	 1139 
0,131: 	 D0: 	 1028 				D1: 	 1092 
1,131: 	 D0: 	 1044 				D1: 	 1108 
2,131: 	 D0: 	 1060 				D1: 	 1124 
3,131: 	 D0: 	 1076 				D1: 	 1140 
0,132: 	 D0: 	 1029 				D1: 	 1093 
1,132: 	 D0: 	 1045 				D1: 	 1109 
2,132: 	 D0: 	 1061 				D1: 	 1125 
3,132: 	 D0: 	 1077 				D1: 	 1141 
0,133: 	 D0: 	 1030 				D1: 	 1094 
1,133: 	 D0: 	 1046 				D1: 	 1110 
2,133: 	 D0: 	 1062 				D1: 	 1126 
3,133: 	 D0: 	 1078 				D1: 	 1142 
0,134: 	 D0: 	 1031 				D1: 	 1095 
1,134: 	 D0: 	 1047 				D1: 	 1111 
2,134: 	 D0: 	 1063 				D1: 	 1127 
3,134: 	 D0: 	 1079 				D1: 	 1143 
0,135: 	 D0: 	 1032 				D1: 	 1096 
1,135: 	 D0: 	 1048 				D1: 	 1112 
2,135: 	 D0: 	 1064 				D1: 	 1128 
3,135: 	 D0: 	 1080 				D1: 	 1144 
0,136: 	 D0: 	 1033 				D1: 	 1097 
1,136: 	 D0: 	 1049 				D1: 	 1113 
2,136: 	 D0: 	 1065 				D1: 	 1129 
3,136: 	 D0: 	 1081 				D1: 	 1145 
0,137: 	 D0: 	 1034 				D1: 	 1098 
1,137: 	 D0: 	 1050 				D1: 	 1114 
2,137: 	 D0: 	 1066 				D1: 	 1130 
3,137: 	 D0: 	 1082 				D1: 	 1146 
0,138: 	 D0: 	 1035 				D1: 	 1099 
1,138: 	 D0: 	 1051 				D1: 	 1115 
